Title,Cost,Description,Effect,Ego,Morph,Skills,Stats,Coditional,Source
Modified Behavior (Level 1),-5,"The character has been conditioned via time-accelerated behavioral control psychosurgery. This is common among ex-felons, who have been conditioned to respond to a specific idea or activity with vehement horror and disgust, but may have occurred for some other reason or even been self-inflicted. At Level 1, the chosen behavior is either limited or boosted. This trait should only be allowed for behaviors that are either limited or, if encouraged, impact the character in a negative way.",,TRUE,FALSE,,,FALSE,
Modified Behavior (Level 2),-10,"The character has been conditioned via time-accelerated behavioral control psychosurgery. This is common among ex-felons, who have been conditioned to respond to a specific idea or activity with vehement horror and disgust, but may have occurred for some other reason or even been self-inflicted. At Level 2 the behavior is either blocked or encouraged. This trait should only be allowed for behaviors that are either limited or, if encouraged, impact the character in a negative way.",,TRUE,FALSE,,,FALSE,
Modified Behavior (Level 3),-15,"The character has been conditioned via time-accelerated behavioral control psychosurgery. This is common among ex-felons, who have been conditioned to respond to a specific idea or activity with vehement horror and disgust, but may have occurred for some other reason or even been self-inflicted. At Level 3 the behavior is expunged or enforced. This trait should only be allowed for behaviors that are either limited or, if encouraged, impact the character in a negative way.",,TRUE,FALSE,,,FALSE,
Morph Fever Resistance,10,"(Asyncs Only) This trait is only available to asyncs. The async does not suffer stress effects from extended periods sleeved in a pod, synth, or infomorph.",,TRUE,FALSE,,,FALSE,
Morphing Disorder (Level 1),-10,Adapting to new morphs is particularly challenging for this character. The character suffers a -10 modifier on Integration Tests and Alienation Tests.,,TRUE,FALSE,,,FALSE,
Morphing Disorder (Level 2),-20,Adapting to new morphs is particularly challenging for this character. The character suffers a -20 modifier on Integration Tests and Alienation Tests.,,TRUE,FALSE,,,FALSE,
Morphing Disorder (Level 3),-30,Adapting to new morphs is particularly challenging for this character. The character suffers a -30 modifier on Integration Tests and Alienation Tests.,,TRUE,FALSE,,,FALSE,
Murder Simulator Addict,10,"Thousands of hours spent in various simulspace combat games have sharpened the character's aim and reflexes-or they've simply spent an inordinate amount of time at the range practicing headshots. When making called shots in ranged combat to target an opponent's head, this character does not suffer the usual -10 called shot modifier. They still suffer the -10 modifier for other called shots, however.",,TRUE,FALSE,,,FALSE,
Natural Immunity,10,"The morph has a natural immunity to a specific drug, disease, or toxin. When afflicted with that specific chemical, poison, or pathogen, the character remains unaffected. At the gamemaster's discretion, this immunity may not apply to certain agents. It may not be applied to nanodrugs or nanotoxins. This trait is only available to biomorphs.",,FALSE,TRUE,,,FALSE,
Neural Damage,-10,"The character has suffered some type of neurological damage that simply cannot be cured. The affliction is now part of the character's ego and remains with them even when remorphing. This damage may have been inherited, it may have resulted from a poorly designed morph or implant, or it may have been inflicted by one of the TITAN nanovirii that targeted neural systems during the Fall. The gamemaster and player should agree on a specific disorder appropriate to their game. Some possibilities are: \nPartial aphasia (difficulty communicating or using words) \nColor blindness \nAmusica (inability to make or understand music) \nSynaesthesia \nLogorrhoea (excessive use of words) \nLoss of face recognition \nLoss of depth perception (double range modifiers) \nRepetitive behavior \nMood swings \nThe inability to shift attention quickly \nThe gamemaster may decide to inflict modifiers resulting from this affliction as appropriate.",,TRUE,FALSE,,,FALSE,
Neurochemical Imbalance,-5,"Something about this morph's neurochemistry (or its neurochemical simulators, in the case of pods and synthmorphs) is unbalanced. Egos that sleeve into this morph struggle with a strong, almost overwhelming emotion: sadness, despair, frustration, loneliness, manic intensity, anxiety, euphoria, and so on. The strength of this emotion may ebb and wane, but it is omnipresent enough to have a consistent impact on the character's mood and personality. This imposed emotion does not affect the character's abilities, but it should be taken into effect for roleplaying purposes. The emotion may be quelled with endocrine control implants (but not emotional dampers) or temporarily overcome via a Psychosurgery Test (for biomorphs) or Hardware: Robotics Test (for synthmorphs). Specific drugs may also reduce the effect, based on the particular aptitude affected. Despite these efforts, the emotion will return in 1d10 days.",,FALSE,TRUE,,,FALSE,
No Cortical Stack,-15,"The morph lacks the cortical stack that is common to morphs of its type. This means the character cannot be resleeved from the cortical stack if the character dies, they can only be resleeved from a standard backup. This trait is not available for flats.",,FALSE,TRUE,,,FALSE,
Non-Human Biochemistry,0,"Biomorphs (including pods) with this trait are developed from non-human (but still mammalian) species or have been genetically modified enough that they are substantially different from humans. Though they are often medically similar to humans, there may be notable differences, and certain common drugs and medical treatments may not work on the morph or may have drastically different results. Though most non-human morphs are developed without allergies, some are occasionally overlooked. Common augmentations may not be available for this morph or may need extra time to prepare. Medicine: Uplift or Medicine: Exotic Biomorph is used to medically treat these morphs. Apply a -10 modifier to any other Medicine skills used to heal or augment the morph; gamemasters should also feel free to increase this modifier to -20 or -30 and/or adjust the timeframe based on the character's condition and resources available to the medical staff. Non-anthropomorphic morphs with this trait count as exotic and inflict -30 modifiers to Alienation and Integration Tests (p. 272, EP). This trait is only available to morphs created from non-human biochemistries. The following existing morphs are considered to have the Non-Human Biochemistry trait: aquanaut, hypergibbon, neanderthal, neo-beluga, neo-dolphin, neo-hominid (bonobo, chimp, orangutan, and gorilla), neo-orca, neo-pig, neo-porpoise, neo-whale, selkie, surya.",,FALSE,TRUE,,,FALSE,
Non-Mammalian Biochemistry,0,"Biomorphs (including pods) with this trait are developed from non-mammalian biologies. The state of medicine for these morphs is often not quite as advanced as it is for humans, and certain common drugs and medical treatments may not work on the morph or may have drastically different results. Though most non-mammalian morphs are developed without allergies, some are occasionally overlooked. Common augmentations may not be available for this morph or may need extra time to prepare. Medicine: Uplift or Medicine: Exotic Biomorph is used to medically treat these morphs. Apply a -20 modifier to any other Medicine skills used to heal or augment the morph; gamemasters should also feel free to increase this modifier to -30 and/or adjust the timeframe based on the resources available to the medical staff. Morphs with this trait count as exotic and inflict -30 modifiers to Alienation and Integration Tests (p. 272, EP). This trait is only available to morphs created from non-mammalian biochemistries. The following existing morphs are considered to have the Non-Mammalian Biochemistry trait: chickcharnie, hulder, neoavian, novacrab, octomorph, ripwing, salamander.",,FALSE,TRUE,,,FALSE,
Not a Team Player,-10,"This character is socially awkward, self-centered, or has such low self esteem that they simply do not work well others. The character does not benefit from teamwork bonuses when others try to aid them, and if they attempt to aid someone else (whether voluntarily or forced), they will apply a -10 modifier to the test rather than aiding with a +10.",,TRUE,FALSE,,,FALSE,
Oblivious,-10,The character is particularly oblivious to events around them or anything other than what their attention is focused on. They suffer a -10 modifier to Surprise Tests and their modifier for being Distracted is -30 rather than the usual -20 (see Basic Perception).,,TRUE,FALSE,,,FALSE,
On the Run,-10,"The character is wanted by the authorities of a particular habitat/station or faction, who continue to actively search for the character. They either committed a crime or somehow displeased someone in power. The character deals with that faction in question at their own risk, and may occasionally be forced to deal with bounty hunters.",,TRUE,FALSE,,,FALSE,
Overwhelmed By Emotions,-10,"(AGIs Only) This trait is only available to AGIs. The character has a particularly difficult time adjusting to hormonal urges and emotions when sleeved in biomorphs. The character suffers a -10 modifier when resisting any form of emotional manipulation, including Intimidation and most Persuasion Tests. Additionally the character suffers a -10 modifier to Stress Tests involving emotions, fear, or pain. At the gamemaster's discretion, certain intense emotions or rushes may temporarily overwhelm the character; if they fail a WIL x 3 Test, they are disoriented and must spend a Complex Action to regain their wits. Gamemasters should not allow this trait for characters that are unlikely to ever sleeve into biomorphs-or should at least occasionally put them in situations that force them into one. Endocrine control does not completely mitigate these effects, though some of the modifiers may cancel out.",,TRUE,FALSE,,,FALSE,
Pain Tolerance (Level 1),10,The character has a high threshold for pain tolerance and is better at ignoring the effects of pain on their abilities and concentration. Level 1 allows them to ignore the 10 modifier from 1 wound. This trait is only available for biomorphs.,,TRUE,TRUE,,,FALSE,
Pain Tolerance (Level 2),20,The character has a high threshold for pain tolerance and is better at ignoring the effects of pain on their abilities and concentration. Level 2 allows them to ignore the 10 modifiers from 2 wounds. This trait is only available for biomorphs.,,TRUE,TRUE,,,FALSE,
Patron,30,"The character has an influential person in their life who can be relied on for occasional support. This could be a wealthy hyperelite family member, a high-ranking triad boss, or an anarchist networker with an unbeatable reputation. When called upon, this patron can pull strings on the characters behalf, supply resources, introduce them to people they need to know, and bail them out of trouble. The player and gamemaster should work together to define exactly who this NPC is and what their relationship with the player character is. Specifically, the question of why this patron is supporting the character should be answered (familial obligation? childhood buddies? the character saved their life once?). Gamemasters should be careful that this trait does not get abused. The patron should be an occasional help (probably no more than once per game session at most) but is not always at the characters beck-and-call. If the character asks for too much, too often, they should find the patrons support drying up. Additionally, the character may need to take action to maintain the relationship, such as undertaking a mission on the patrons behalf. In fact, the character may only have their patronage because they are on-call or of use to the NPC in some way.",,TRUE,FALSE,,,FALSE,
Personal Connection,15,"The character has some sort of personal connection that often allows them to get one particular category of goods or services at a discount in most major habitats. Perhaps an old friend owns a body bank corp, their family is in the shipping business, they won a lifetime membership discount for a common retail chain, or someone in a criminal cartel owes them a life-long obligation. The player chooses one particular type of goods or services, such as morphs, cargo shipping, weapons, robots, software, implants, and so on. The character can usually acquire these goods or services at one cost category cheaper. This does not apply to Expensive goods. The player may use this trait as often as they wish, but the gamemaster may rule that is simply not available in certain settlements-their connection may not have a presence there or may be too strained for resources to offer the discount. Also at the gamemaster's discre- tion, if the character takes actions that would substan- tially compromise the relationship that enables this discount, they may be temporarily unable to use this trait or may even lose it for good. This trait does not reduce the cost of goods and services acquired during character creation, nor may it be taken in conjunction with the Tenure trait.",,TRUE,FALSE,,,FALSE,
Phobia Disorder,-10,"Phobias are a minor type of mental anxiety disorder based on an irrational fear of a particular situation or thing. Phobic characters will go to great lengths to avoid their particular fear-they must make a WIL x 3 Test to even stay within proximity, otherwise they will flee the area. If forced into close proximity with their fear, they will suffer 1 SV per hour and take a -10 modifier to all of their actions. If they are trapped in close proximity to the source of their fear, they will suffer (1d10 / 2) SV per hour and take a -30 modifier to all actions. Luckily, phobias are easier to treat than other disorders. The base timeframe for psychotherapy treatment of a phobia is 20 hours. Phobia disorders may be inflicted on characters that suffer too many traumas in place of other mental disorders. Gamemasters should keep in mind, however, that phobias are easier to treat; though the possibility of taking more mental stress from the phobia may offset this. At the gamemaster's discre- tion, temporary phobias can be used as derange- ments inflicted with mental trauma (p. 209, EP). In these situations, the phobia should be linked to the particular source of trauma. For example, a character who suffers a trauma from remembering their death after vacuum exposure might pick up a derangement phobia of vacuum environments.",,TRUE,FALSE,,,FALSE,
Phoenix (Level 1),10,"Transhumans who die and resleeve frequently are nicknamed phoenixes. Death holds little sway over these daring characters, so the trauma of lost continuity has lost much of its sting. The character gains a +20 bonus on Continuity Tests at Level 1, and a +30 bonus at Level 2.",,TRUE,FALSE,,,FALSE,
Phoenix (Level 2),20,"Transhumans who die and resleeve frequently are nicknamed phoenixes. Death holds little sway over these daring characters, so the trauma of lost continuity has lost much of its sting. The character gains a +20 bonus on Continuity Tests at Level 1, and a +30 bonus at Level 2.",,TRUE,FALSE,,,FALSE,
Planned Obsolescence,-5,"The morph is a hypercorp model that requires periodic GSP (Genetic Service Pack) therapy. For every three months of game time, the character must spend credits equal to 10% the cost of the morph on GSP upgrades. If they fail to do so, the morph's SOM is reduced by 5 until the character gets their GSP therapy. These penalties are cumulative over time (at 6 months, 9 months, etc.), but getting GSP therapy once removes all penalties. The character suffers no SOM loss if the majority of a given 3 month period was spent in hibernation, in a healing vat, or in some other form of metabolic suspension. The SOM reduction is due to low level neural degradation, minor tumors, joint pain, and other problems that crop up and express later as hypercorp genetic designers working on tight budgets and tighter deadlines race to release morph models with extra value-added features. While theoretically over many years this trait would lead to the early death of the morph, in game terms the morph stops accruing penalties when its SOM is reduced to 5. The character regains their normal SOM score if they resleeve. This trait is only available to biomorphs (including uplifts and pods).",,FALSE,TRUE,,,FALSE,
Police Officer (Level 1),10,"The character is a mid-ranking cop-a sergeant or detective-in the Martian Rangers, Titanian Science Police, or other police department. At Level 2, the character is a high-ranking officer: chief inspector, chief of single station or district, or high-ranking desk officer in a large department. For each level, the character receives a +10 on all Networking Tests within their department. The character is actively employed there and is expected to put in at least 6 hours of work four days a week (if Titanian) or 8 hours a day five days a week (if Jovian, Venusian, Lunar, or Martian). Rank-and-file officers don't need to take this trait. Characters using favors to deploy other officers or use department resources may have to explain their actions to superiors.",,TRUE,FALSE,,,FALSE,
Police Officer (Level 2),20,"The character is a mid-ranking cop-a sergeant or detective-in the Martian Rangers, Titanian Science Police, or other police department. At Level 2, the character is a high-ranking officer: chief inspector, chief of single station or district, or high-ranking desk officer in a large department. For each level, the character receives a +10 on all Networking Tests within their department. The character is actively employed there and is expected to put in at least 6 hours of work four days a week (if Titanian) or 8 hours a day five days a week (if Jovian, Venusian, Lunar, or Martian). Rank-and-file officers don't need to take this trait. Characters using favors to deploy other officers or use department resources may have to explain their actions to superiors.",,TRUE,FALSE,,,FALSE,
Poorly Socialized,-10,"This trait is most common among AGIs and uplifts, but can be taken by anyone. The character's early life experience left them poorly prepared for interacting with the general public, and they come off as boorish, distant, or strange until they get to know someone well. Due to the difficult nature of the character's behavior, they suffer a -10 modifier on all Social Skill Tests whenever the character is interacting with another character for the first time only.",,TRUE,FALSE,,,FALSE,
Potent Mind,5,This trait is only available to characters that also have the Psi trait and the Psychic Stab sleight. Thecharacter's mind is especially invasive and damaging when used against others. Inflict an extra 1d10 DV when using the Psychic Stab sleight.,,TRUE,FALSE,,,FALSE,
Predator,10,"(Uplifts Only) This trait is only available to uplifts, and is most common in those from octopus or orca genestock. The uplift retains the thrill of the hunt from its predatory ancestry. The character receives a +10 modifier on Infiltration Tests when stalking a target and a +10 bonus on the first attack against a surprised opponent.",,TRUE,FALSE,,,FALSE,
Professional Courtesy,5,"Although higher-ups in your organization probably aren't thrilled about it, you've run into the operatives and field agents of another faction or conspiracy often enough that you've earned some leeway with them. Choose a group engaged in covert ops, intelligence work, or paramilitary actions: when encountering agents of that group in the context of a mission, you gain a +10 bonus on all social tests against them, as they treat you with grudging respect-or at least more tolerance than they otherwise would for a member of your organization. Discuss with your gamemaster to detail what your character did to gain the respect of this other group. This trait does not guarantee safety or cooperation between you and members of the chosen organization, only some additional consideration between professionals. Depending on the particulars of an encounter, it may provide some shared information, a moment of détente to face a common foe, or the chance to determine how to stay out of each others' way.",,TRUE,FALSE,,,FALSE,
Proprietary Tech,-10,"This trait is only available to synthmorphs. This morph was built to non-standard specifications, so that normal tools and software do not properly work on this morph. This is a conscious design decision by the manufacturer of the morph and is often used as a means of control. By limiting access to repair and modifications, the morph is dependent on the manufacturer. Highly skilled technicians can work around these barriers, but it impedes work. Standard repair and diagnostic tools like repair spray and fixer nanoswarms do not work on this morph, except for manufacturer-approved brands. Characters with Hardware: Robotics can repair or modify the morph but at a -20 modifier.",,FALSE,TRUE,,,FALSE,
Psi Chameleon,10,The characters mental state is naturally resistant to psi sensing. Apply a 10 modifier to any attempts to locate or detect the character via psi sleights.,,TRUE,TRUE,,,FALSE,
Psi Chameleon,10,The characters mental state is naturally resistant to psi sensing. Apply a 10 modifier to any attempts to locate or detect the character via psi sleights.,,TRUE,TRUE,,,FALSE,
Psi Defense (Level 1),10,"The characters mind is inherently resistant to mental attacks. At Level 1, apply a +10 modifier to all defense tests made against psi attacks.",,TRUE,TRUE,,,FALSE,
Psi Defense (Level 2),20,"At Level 2, apply an additional +10 modifier to all defense tests made against psi attacks.",,TRUE,TRUE,,,FALSE,
Psi Vulnerability,-10,Something about the character's mind makes them particularly vulnerable to psi attack. They suffer a -10 modifier when resisting such attacks. The morph version of this trait may only be taken by biomorphs.,,TRUE,TRUE,,,FALSE,
Real World Naievite,-10,"Due to their background, the character has very limited personal experience with the real (physical) worldor they have spent so much time in simulspace that their functioning in real life is impaired. They lack an understanding of many physical properties, social cues, and other factors that people with standard human upbringings take for granted. This lack of common sense may lead the character to misunderstand how a device works or to misinterpret someones body language. Once per game session, the gamemaster may intentionally mislead the character when giving them a description about some thing or some social interaction. This falsehood represents the characters misunderstanding of the situation, and should be roleplayed appropriately, even if the player realizes the characters mistake. This trait should only be available to characters with the infolife or re-instantiated backgrounds, though the gamemaster may allow it for characters who have extensive virtual reality/XP use in their personal histories.",,TRUE,FALSE,,,FALSE,
Reduced Size,-10,This trait reduces the size of an existing morph model from either large to medium or medium to small (morphs may only be reduced once). Morphs shrunk to a medium size lose the effects of the Large Size trait (next page) and 10 points of Durability. Morphs reduced to a small size gain the effects of the Small Size trait (p. 95) and lose 5 points of Durability. Durability reductions also effect Wound Threshold and Death Rating per normal. Reducing a morph may affect other changes at the gamemaster's discretion.,,FALSE,TRUE,,,FALSE,
Right at Home,10,"The character chooses one type of morph (splicer, neo-hominid, case, etc.). The character always feels right at home in morphs of this type. When resleeving into this type of morph, the character automatically adjusts to the new body, no Integration or Alienation Test needed, suffering no penalties and no mental stress.",,TRUE,FALSE,,,FALSE,
Severe Allergy (common),-20,"The morph's biochemistry suffers a severe allergic reaction (anaphylaxis) when it comes into contact (touched, inhaled, or ingested) with a specific allergen. The allergen may be common (dust, dander, plant pollen, certain foods, latex) or uncommon (certain drugs, insect stings). The player and gamemaster should agree on an allergen that fits the game. If exposed to the allergen, the character breaks into hives, has difficulty to breathing (-30 modifier to all actions), and must make a DUR Test or go into anaphylactic shock (dying of respiratory failure in 2d10 minutes unless medical care is applied). This trait is only available to biomorphs.",,FALSE,TRUE,,,FALSE,
Severe Allergy (uncommon),-10,"The morph's biochemistry suffers a severe allergic reaction (anaphylaxis) when it comes into contact (touched, inhaled, or ingested) with a specific allergen. The allergen may be common (dust, dander, plant pollen, certain foods, latex) or uncommon (certain drugs, insect stings). The player and gamemaster should agree on an allergen that fits the game. If exposed to the allergen, the character breaks into hives, has difficulty to breathing (-30 modifier to all actions), and must make a DUR Test or go into anaphylactic shock (dying of respiratory failure in 2d10 minutes unless medical care is applied). This trait is only available to biomorphs.",,FALSE,TRUE,,,FALSE,
Shut In,-15,"This character is a social hermit or went through a period of self-imposed isolation, limiting the amount of interactions they have via online social networks. Because the character is out of touch, their ability to network with others is impaired. Apply a -10 modifier to Networking Tests.",,TRUE,FALSE,,,FALSE,
Situational Awareness,10,"The character is very good at maintaining continuous partial awareness of the goings-on in their immediate environment. In game terms, they do not suffer the Distracted modifier on Perception Tests to notice things even when their attention is focused elsewhere, or when making Quick Perception Tests during combat.",,TRUE,FALSE,,,FALSE,
Skill Artifact (Level 1),10,"The morph has latent skills stored in muscle memory or as higher-level data that refuses to be erased. This is especially common for exotic or alien morphs. At level 1, the morph has a single Active skill at a rating of 30 (plus aptitude) or a single Knowledge skill at 40 (plus aptitude). Level 2 adds a second skill. This new skill suppresses the ego's pre-existing rating in that skill, similar to a skillware system. These skills cannot be changed or turned off as long as the ego is sleeved in that morph.",,FALSE,TRUE,,,FALSE,
Skill Artifact (Level 2),20,"The morph has latent skills stored in muscle memory or as higher-level data that refuses to be erased. This is especially common for exotic or alien morphs. At level 1, the morph has a single Active skill at a rating of 30 (plus aptitude) or a single Knowledge skill at 40 (plus aptitude). Level 2 adds a second skill. This new skill suppresses the ego's pre-existing rating in that skill, similar to a skillware system. These skills cannot be changed or turned off as long as the ego is sleeved in that morph.",,FALSE,TRUE,,,FALSE,
Slow Learner,-10,New skills are not easy for this character to pick up. The character takes twice as long as normal to improve skills or learn new ones.,,TRUE,FALSE,,,FALSE,
Small Size,0,"The morph is significantly smaller than a normal transhuman, roughly child-sized. The character counts as a small target in combat; apply a -10 modifier to attacks against the character. Standard-size opponents have a reach advantage against the character and large and very large opponents will have double this advantage. The character may also, at the gamemaster's discretion, suffer a -20 modifier when handling medium-sized gear or two-handed weapons that have not been modified for their size. They may also have difficulty with armor, gear, and so on manufactured for larger morphs. Small morphs have an aptitude maximum for SOM of 25. This trait applies to morphs that are inherently small. To apply it to existing morphs with a larger baseline, use the Reduced Size trait (p. 93). The following existing morphs are considered to have the Small Size trait: dragonfly, flexbot modules, hypergibbon, kite, neo-avian, neotenic, scurrier, spare. The following existing bots/vehicles are considered to have the Small Size trait: bughunter, caretaker, creepy, explorenaut, gnat, manipulator cuff, saucer, spider hand, thumper. The following existing smart animals are considered to have the Small Size trait: aquarium pet, guard dog, police baboon, rust hound, smart cat/dog/hawk/monkey/racoon/rat/wolf, space roach, squidling, swarm cat.",,FALSE,TRUE,,,FALSE,
Social Animal,15,"(Hominid/Cetacean Uplifts Only This trait is only available to hominid and cetacean uplifts. The species of origin for these uplifts naturally forms tightly bonded social groups, and that char- acteristic has been enhanced along with their intelli- gence. Whenever characters with this background are around family or close associates, they feel a strong sense of security and purpose that grants a +10 bonus on all Stress Tests.",,TRUE,FALSE,,,FALSE,
Social Butterfly,15,"This character is a promiscuous abuser of online social networks. Because they go out of their way to make new connections and interact with people, they find it slightly easier to get what they need. Apply a +10 modifier to Networking Tests.",,TRUE,FALSE,,,FALSE,
Social Stigma,-10,"An unfortunate aspect of the character's background means that they suffer from a stigma in certain social situations. They may be sleeved in a morph viewed with repugnance, be a survivor of the infamous Lost generation, or may be an AGI in a post-Fall society plagued by fear of artificial intelligence. In social situations where the character's nature is known to someone who view that nature with distaste, fear, or repugnance, they suffer a -10 to -30 modifier (gamemaster's discretion) to social skill tests.",,TRUE,TRUE,,,FALSE,
Socially Graceless,-10,"Something about the character makes them a walking social disaster. While the character can be charming and confident, they forget basic social etiquette, overlook customs and rules, miss social cues, and overstep their bounds. Once per game session, the gamemaster can treat one social interaction (prefer- ably where a Social Skill Test by the character was involved) as a critical failure. Usually this results in someone being offended, becoming hostile, or refusing to work with the character. Protocol may not be used to wipe away this social gaffe, nor may Moxie negate it.",,TRUE,FALSE,,,FALSE,
Solitary,-10,"(Neo-Octopi Only) This trait is only available to neo-octopi uplifts. Like its pre-sapient kin, this uplift prefers solitude and has not been fully socialized. As a result, they can only tolerate 2 hours of direct interaction (physical or virtual) with others before they need a break and some alone time (at least 2 hours). If forced into a situation where they must interact or exist in close proximity to others for more than 2 hours, they suffer a cumulative -10 modifier to all Social Skill Tests per 2-hour period, up to a maximum of -30. After 6 hours, they must a WIL x 3 Test to keep their composure and not react towards those around them with aggression, hostility, or even violence. This trait is usually taken in conjunction with the Hardening (Isolation) trait.",,TRUE,FALSE,,,FALSE,
Spacecraft,30,"Buying a personal spacecraft is far beyond the means of most characters. This trait, however, puts a spacecraft in the character's hands, with certain conditions. This trait may only be taken with game master approval and it is best only considered for campaigns where regular space travel is likely to be a major element. Somehow, the character is responsible for a bulk carrier, GEV, LLOTV, scum barge, SLOTV, or standard transport. How and why this occurred- and what strings are attached-should be worked out between the player and gamemaster. The character could be an employed pilot or captain, placed in charge of a hypercorp-owned vessel. Perhaps they are borrowing a ship belonging to a criminal cartel, hyperelite dynasty, or anarchist collective. Maybe they built the ship on their own, but placed themselves permanently in the debt of an esoteric brinker group or smuggling crew to get the materials they needed. The ship may even be stolen, with a bounty out for its recapture. Whatever the circumstances, the character should occasionally be obligated to meet or avoid the needs and demands of the ships' rightful owners, its passengers, and its crew. For example, the character may have salvaged a derelict vessel and converted it into a refugee barge during the Fall, but must now deal with the scum squatters that have effectively taken it over. Operating a ship also comes with a host of logistical issues, from acquiring reaction mass to making deals for passengers and cargo to somehow funding an inexhaustible list of critical repairs. Keeping the ship operational could become a campaign unto itself.",,TRUE,FALSE,,,FALSE,
Special Agent (Level 1),10,"The character is a field agent of the Titanian Security Police, the secret police of one of the Martian city-states, the Jovian CDC, or a similar organization. At Level 2, the character is a supervising agent coordinating the work of 5-10 other agents. For each level, the character receives a +10 on all Networking Tests within their agency. The character is actively employed there and is expected to put in at least 6 hours of work four days a week (if Titanian) or 8 hours a day five days a week (if Jovian, Venusian, Lunar, or Martian). Players taking this trait must seek gamemaster permission and develop a plausible story for how their character is able to participate in Firewall missions while working for the agency. Their work requires them to be physically present, although whether they're stationed in a specific place or are deployed more widely depends on their agency role. Characters using favors to deploy other agents or access secret information not related to their jobs will eventually have to explain their actions to superiors.",,TRUE,FALSE,,,FALSE,
Special Agent (Level 2),20,"The character is a field agent of the Titanian Security Police, the secret police of one of the Martian city-states, the Jovian CDC, or a similar organization. At Level 2, the character is a supervising agent coordinating the work of 5-10 other agents. For each level, the character receives a +10 on all Networking Tests within their agency. The character is actively employed there and is expected to put in at least 6 hours of work four days a week (if Titanian) or 8 hours a day five days a week (if Jovian, Venusian, Lunar, or Martian). Players taking this trait must seek gamemaster permission and develop a plausible story for how their character is able to participate in Firewall missions while working for the agency. Their work requires them to be physically present, although whether they're stationed in a specific place or are deployed more widely depends on their agency role. Characters using favors to deploy other agents or access secret information not related to their jobs will eventually have to explain their actions to superiors.",,TRUE,FALSE,,,FALSE,
Stalker,-10,"A voyeur obsessively stalks this character's actions online. The gamemaster and player should work out details of the stalker together, and the gamemaster should use the stalker as a plot element to create occasional nuisances and challenges. The stalker could, for example, be a fan who over-appreciates the character's work and pesters them or a unknown entity that follows the character's actions religiously and posts the details to an online log.",,TRUE,FALSE,,,FALSE,
Stolen Identity,-10,"Someone stole this character's identity and took advantage of their name, reputation, background-the works. Though this happened in the past, the situation was never fully resolved and the character is plagued with collateral difficulties from the theft. The gamemaster and player should work out details of the incident together, and the gamemaster should use this to occasionally hinder the character or create complications. For example, the character may have to deal with criminal charges against them in one habitat, angry thugs looking for payback on another, and so on.",,TRUE,FALSE,,,FALSE,
Striking Looks - Uplift (Level 1),5,"In an age where biosculpting is easy, good looks are both cheap and commonplace. This morph, however, possesses a physical look that can only be described as striking and unusual, but also somehow alluring and fascinating even the gorgeous and chiseled glitterati take notice. On social skill tests where the character's beauty may affect the outcome, they receive a +10 (for Level 1) modifier. This trait is only available to uplifts. This modifier is only effective against characters with your specific uplift background (i.e., neo-avians, neo-hominids, etc.). The one drawback to this trait is that the character is more easily noticed and remembered.",,FALSE,TRUE,,,FALSE,
Striking Looks - Uplift (Level 2),10,"In an age where biosculpting is easy, good looks are both cheap and commonplace. This morph, however, possesses a physical look that can only be described as striking and unusual, but also somehow alluring and fascinating even the gorgeous and chiseled glitterati take notice. On social skill tests where the character's beauty may affect the outcome, they receive a +20 (for Level 2) modifier. This trait is only available to uplifts. This modifier is only effective against characters with your specific uplift background (i.e., neo-avians, neo-hominids, etc.). The one drawback to this trait is that the character is more easily noticed and remembered.",,FALSE,TRUE,,,FALSE,
Striking Looks (Level 1),10,"In an age where biosculpting is easy, good looks are both cheap and commonplace. This morph, however, possesses a physical look that can only be described as striking and unusual, but also somehow alluring and fascinating even the gorgeous and chiseled glitterati take notice. On social skill tests where the character's beauty may affect the outcome, they receive a +10 (for Level 1) modifier. This modifier is ineffective against xenomorphs or those with the infolife or uplift backgrounds. This trait is only available to biomorphs. The one drawback to this trait is that the character is more easily noticed and remembered.",,FALSE,TRUE,,,FALSE,
Striking Looks (Level 2),20,"In an age where biosculpting is easy, good looks are both cheap and commonplace. This morph, however, possesses a physical look that can only be described as striking and unusual, but also somehow alluring and fascinating even the gorgeous and chiseled glitterati take notice. On social skill tests where the character's beauty may affect the outcome, they receive a +20 (for Level 2) modifier. This modifier is ineffective against xenomorphs or those with the infolife or uplift backgrounds. This trait is only available to biomorphs. The one drawback to this trait is that the character is more easily noticed and remembered.",,FALSE,TRUE,,,FALSE,
Submissive,-5,"This trait is only available to uplifts. This character retains a tendency to submit to displays of domi- nance, inherited from their pre-sapient forebears. The character suffers a -20 modifier in Opposed Tests against Intimidation from NPCs with perceived social status.",,TRUE,FALSE,,,FALSE,
Subverted Mind,-30,"Similar to the Modified Behavior trait (p. 150, EP), the character has been conditioned by behavioral control psychosurgery-in this case, an expunged or enforced behavior. The character is unaware of this mind editing, however, as the procedure also included an awareness block (p. 170). This means the character could be a secret spy, courier, or saboteur, possibly even regularly engaging in behavior of which they are completely unaware. Alternatively, they could simply be an enemy's secret ace in the hole, a trump card to exploit when the time is right. Keep in mind that, due to the awareness block, even when the character's hidden programming becomes apparent to others, they will be cognitively incapable of recognizing it themselves, which is certain to be an incredibly stressful experience all around.",,TRUE,FALSE,,,FALSE,
